action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,exclusion_reason,ic50_nM,smiles,measurement_class
,,194268,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '26.54', 'le': '0.52', 'lle': '9.01', 'sei': '6.88'}",,CHEMBL279785,MARIMASTAT,CHEMBL279785,8.80,0,http://www.openphacts.org/units/Nanomolar,189009,=,1,1,=,,IC50,nM,,1.6,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,1.6,,1.6,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,active
,,195387,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCn1nnc2ccccc2c1=O)COCCc1ccc(-c2ccc(Cl)cc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '17.13', 'le': '0.33', 'lle': '4.56', 'sei': '7.94'}",,CHEMBL100584,,CHEMBL100584,8.44,0,http://www.openphacts.org/units/Nanomolar,189011,=,1,1,=,,IC50,nM,,3.6,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,3.6,,3.6,O=C(NO)C(CCn1nnc2ccccc2c1=O)COCCc1ccc(-c2ccc(Cl)cc2)cc1,active
,,195393,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '22.90', 'le': '0.47', 'lle': '7.44', 'sei': '8.91'}",,CHEMBL75094,PRINOMASTAT,CHEMBL75094,9.70,0,http://www.openphacts.org/units/Nanomolar,189010,=,1,1,=,,IC50,nM,,0.2,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.2,,0.2,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,active
,,200121,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '14.97', 'le': '0.28', 'lle': '2.73', 'sei': '6.94'}",,CHEMBL318795,,CHEMBL318795,6.66,0,http://www.openphacts.org/units/Nanomolar,189015,=,1,1,=,,IC50,nM,,221.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,221.0,,221.0,O=C(NO)C(CCCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,active
,,204982,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCn1c(=O)[nH]c2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '17.06', 'le': '0.31', 'lle': '4.65', 'sei': '6.70'}",,CHEMBL100805,,CHEMBL100805,7.60,0,http://www.openphacts.org/units/Nanomolar,189014,=,1,1,=,,IC50,nM,,25.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,25.0,,25.0,O=C(NO)C(CCn1c(=O)[nH]c2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,active
,,207376,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C(=O)N(CCC(COc2ccc(-c3ccccc3)cc2)C(=O)NO)C(=O)C1(C)C,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '15.75', 'le': '0.30', 'lle': '3.78', 'sei': '6.76'}",,CHEMBL323148,,CHEMBL323148,6.70,0,http://www.openphacts.org/units/Nanomolar,189016,=,1,1,=,,IC50,nM,,199.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,199.0,,199.0,CN1C(=O)N(CCC(COc2ccc(-c3ccccc3)cc2)C(=O)NO)C(=O)C1(C)C,active
,,207382,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '20.91', 'le': '0.38', 'lle': '5.95', 'sei': '8.46'}",,CHEMBL323371,,CHEMBL323371,9.00,0,http://www.openphacts.org/units/Nanomolar,189018,=,1,1,=,,IC50,nM,,1.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,1.0,,1.0,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,active
,,210778,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(-c2ccc(OCCC(=O)NO)cc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '21.90', 'le': '0.40', 'lle': '3.68', 'sei': '7.51'}",,CHEMBL38851,,CHEMBL38851,6.18,0,http://www.openphacts.org/units/Nanomolar,189021,=,1,1,=,,IC50,nM,,655.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,655.0,,655.0,N#Cc1ccc(-c2ccc(OCCC(=O)NO)cc2)cc1,active
,,216739,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '19.84', 'le': '0.38', 'lle': '5.52', 'sei': '8.67'}",,CHEMBL317132,,CHEMBL317132,9.22,0,http://www.openphacts.org/units/Nanomolar,189013,=,1,1,=,,IC50,nM,,0.6,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,0.6,,0.6,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,active
,,217988,[],CHEMBL714516,Inhibition of Matrix metalloprotease-9,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C(CCn1ncc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,,,CHEMBL1134157,Bioorg Med Chem Lett,2001.0,"{'bei': '17.42', 'le': '0.32', 'lle': '3.83', 'sei': '8.01'}",,CHEMBL102459,,CHEMBL102459,7.48,0,http://www.openphacts.org/units/Nanomolar,189017,=,1,1,=,,IC50,nM,,33.0,CHEMBL321,Homo sapiens,Matrix metalloproteinase-9,9606,,,IC50,nM,UO_0000065,,33.0,,33.0,O=C(NO)C(CCn1ncc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,active
