representation,model,accuracy_mean,accuracy_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
PaDEL,LogisticRegression,0.9174863387978143,0.020141529888495942,0.9469406018497781,0.013307818237047589,0.9372916666666667,0.02303116483967005,0.8443589743589743,0.05822639771026016
PaDEL,RandomForest,0.9372131147540983,0.016793251648058782,0.9604675165052439,0.010560590771935907,0.9690972222222223,0.014110707628315192,0.8194871794871794,0.058188176622784915
PaDEL,XGBoost,0.9346448087431695,0.01501881467457175,0.9588313952819177,0.009363201814214985,0.9667361111111111,0.0129935530720657,0.8161538461538461,0.06044252037004151
SMILES,LogisticRegression,0.8883060109289618,0.02070014236358256,0.9275814187529928,0.013729277898303291,0.9099305555555556,0.021792255052754967,0.8084615384615383,0.062218358444549024
SMILES,RandomForest,0.9299453551912569,0.018435164767136317,0.9558620471159535,0.011593469195238737,0.9638888888888889,0.015291163404532803,0.8046153846153846,0.06128541602567998
SMILES,XGBoost,0.9219125683060109,0.019390684150999798,0.9503681014596923,0.012406882425354369,0.9505555555555556,0.018340899027291916,0.8161538461538461,0.0617469274009021
